date,open,high,low,close,volume
2006-06-19,3.3562,3.3730,3.2121,3.2198,38804400
2006-06-20,3.1309,3.2412,3.1186,3.1692,53581602
2006-06-21,3.1554,3.2550,3.1554,3.2045,44117202
2006-06-22,3.2397,3.2489,3.0895,3.1110,53233602
2006-06-23,3.1049,3.1769,3.0757,3.1125,33520002
2006-06-26,3.1079,3.1416,3.0681,3.0834,28173600
2006-06-27,3.1018,3.1049,2.9439,2.9853,60851202
2006-06-28,3.0083,3.1999,2.9301,3.1508,83337600
2006-06-29,3.0650,3.2933,3.0543,3.2933,68766402
2006-06-30,3.3255,3.3776,3.2382,3.2627,46824000
2006-07-03,3.3378,3.3409,3.2872,3.3102,17469600
2006-07-05,3.2581,3.2872,3.1616,3.1616,45970800
2006-07-06,3.1616,3.1922,3.0313,3.0635,47063202
2006-07-07,3.0849,3.0911,2.9347,2.9685,54122802
2006-07-10,2.9754,2.9976,2.8137,2.8397,44992002
2006-07-11,2.8305,2.9455,2.7892,2.9347,60058002
2006-07-12,2.9240,2.9577,2.7907,2.7938,46103202
2006-07-13,2.7508,2.8198,2.7079,2.7217,54058002
2006-07-14,2.7723,2.7876,2.6313,2.7079,57214800
2006-07-17,2.6957,2.7600,2.6819,2.7294,50280402
2006-07-18,2.8229,2.9072,2.7217,2.8780,97933200
2006-07-19,2.8658,3.0405,2.8443,3.0037,105554802
2006-07-20,3.0573,3.1110,2.9393,2.9439,50560002
2006-07-21,2.8443,2.8566,2.7018,2.7233,63391602
2006-07-24,2.8239,3.0665,2.8091,2.9976,98317602
2006-07-25,3.0344,3.1355,2.9899,3.1033,57410400
2006-07-26,3.1033,3.1401,3.0114,3.1033,49531602
2006-07-27,3.1432,3.2719,3.0911,3.1478,69433602
2006-07-28,3.2290,3.4803,3.2106,3.4742,81529602
2006-07-31,3.4374,3.4727,3.3838,3.3930,59476002
2006-08-01,3.3516,3.3577,3.1953,3.2566,60096402
2006-08-02,3.3286,3.5232,3.3209,3.5064,75677202
2006-08-03,3.4941,3.8221,3.4451,3.7270,89056800
2006-08-04,3.8251,3.8313,3.5815,3.6765,81823200
2006-08-07,3.6121,3.6795,3.5631,3.6336,43614402
2006-08-08,3.6627,3.8083,3.6535,3.7301,61980402
2006-08-09,3.8037,3.9079,3.7010,3.7286,58470402
2006-08-10,3.6872,3.7240,3.6244,3.7025,107214000
2006-08-11,3.4328,3.6795,3.4205,3.5861,160327200
2006-08-14,3.6297,3.6673,3.5477,3.5677,80941200
